# Q100501_a
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="大灯台"
JumpSubroutine	*メインシナリオタイトル
Bgm	作戦会議
Bg	大灯台
	ディーア	怪しい	2_2
	リディ	驚きR	1_2
	※※※※	通常	2_3					勇者マーガレットの惨劇から\n数ヶ月後――
	※※※※							　　　魔炎大陸ノイルマレヴ\n　　　火と鉄の都市エキドナ\n　　　――ミリア大灯台――
	リディ	驚きR	1_2					うわぁ…なんかすごいね、ここ
	ディーア	怪しい	2_2					いかにも、って感じの建物だな
	ディーア							依頼の通り、やっかいなモンスターが\nめっちゃ出そう
	リディ	笑いR						ノイルマレヴのお仕事依頼も\n随分ちゃんとしたのが来るように\nなったよねぇ
	ディーア							はじめは皿洗いとかペット探しとか\n散々だったからな…
	リディ							でもでも、やっとこの国の人たちにも\n信頼されるようになってきたし、\nモンスター討伐任務も増えてきたし！
	ディーア	悔しい						あぁ、これでやっと手がかりが\n見つけられるかもしれない
	リディ	通常R						うん…\nルル君、心配だな…
	ディーア							それに太陽聖域のやつらも、\nここ数ヶ月まったく音沙汰がなかった
	リディ							ノイルマレヴに何があるのかな
	ディーア	驚き						――！！
	リディ							どうしたのマスター？
	ディーア	怪しい						リディ、やばいぞこの灯台…\n魔力反応の数がとんでもない
Bgm	バトル
	モンスターの声	<Off>				0		<color=mk2wisp>\n　　……グオオオオッ!!……</color>
	リディ	驚きR						なんでこんな灯台に、\nこんなたくさんのモンスターが…
	ディーア	通常						引き受けた以上、やるしかない…か！
	リディ							マスター、一人で大丈夫なの？
	ディーア	怪しい						このモンスターの数は異常だ\n何かが原因で集まっているはず、\nその原因さえ叩ければ…
	リディ	驚き	3_3
	ディーア	驚き	2_3
	タバコを咥えた男	通常	1_3					――そういうことなら、\n手を貸そうか、魔剣使い
	ディーア							！？
	ディーア	怪しい						あんたは？
	タバコを咥えた男							自己紹介は後にしよう\n来るぞ
	ディーア	怒り						！！
EndScenario

# Q100501_b
Command	Arg1	Arg2	Arg3	Arg4	Arg5	Arg6	WaitType	Text	PageCtrl	Voice	WindowType
Param	quest_name="仕事の時間"
JumpSubroutine	*メインシナリオタイトル
Bgm	作戦会議
Bg	大灯台
	タバコを咥えた男	通常	1_3
	ディーア	驚き	2_3
	リディ	驚き	3_3
	タバコを咥えた男	通常						ふぅ…\nとりあえずこのフロアは\nこんなところか
	ディーア	驚き						……あんた強いな
	タバコを咥えた男							これだけのモンスターを相手にして\n息切れひとつしていない\nキミも十分に強いがな
	ブラム	通常	1_3					オレはブラム、よろしく頼む
	ディーア	笑い						<param=name>だ\nこっちは相棒のリディ
	リディ	笑い						よろしくブラムさん！
	ブラム							よろしく頼むよお嬢さん
	ディーア	通常						ブラムさん、あんたも\nミリア大灯台のモンスター討伐依頼を？
	ブラム							古い友人からの頼みでな\nここをモンスターに占拠されると\n困るそうだ
	ディーア	嬉しい						てっきり1人任務かと思ってたから\n仲間がいてくれて助かる
	ブラム							…だが、本来この数の敵を相手に\nするならば、小隊、いや中隊クラスの\n勇者を派兵するのが王道だろう
	ディーア	怪しい						ああ、それは俺も思っていた\nでもその疑問はさっき解決したよ
	ブラム							……というと？
	リディ	怒り						ブラムさん、あれ、見て
	ブラム							……あぁ、なるほど
	ブラム							これは、EDENの勇者御用達の、\n汎用型エクスカリバーの破片
	ブラム							ということは、既に勇者たちは\nこの任務に失敗している、と
	ディーア							汎用型を使ってるってことは、\nおおよそC級かそこらだろうけど、\nこのフロアで撤退とは情けないな
	ブラム							………
	ディーア	笑い						でもまあ、勇者たちがヘボいおかげで\n俺たちに仕事が巡ってくるわけだし
	ディーア							いくら休戦中とはいえ、\n敵国で失態をおかすような勇者を\n量産してくれちゃってるところは
	ディーア							エデンの国王、勇者王シドウさんに\n感謝しないといけないかもー…なんて
	ブラム							…ふ、あんな男ではなかったのだがな
	リディ	通常						ブラムさん？
	ブラム							いや、なんでもないさ\nそれより気をつけろ魔剣使い
	ディーア							あぁ、わかってる
Bgm	バトル
	モンスターの声	<Off>				0		<color=mk2wisp>\n　　……グオオオオッ!!……</color>
	ディーア	怒り						仕事の時間だ！
EndScenario

# Q100501_c
